"","X","Species_names","Limb_width","Limb_length","Observer_names","Volume"
"49",49,"Chimpanzee",36.8504506104656,50.1664054484942,"James",53504.2734263161
"50",50,"Lion",38.6441948015478,46.9653514516428,"Bob",55085.3335284719
"51",51,"Tiger",33.2616863330361,46.7160826541675,"Bob",40592.4091135452
"52",52,"Chimpanzee",30.7716514939071,51.5811007189521,"Juan",38360.3090370483
"53",53,"Chimpanzee",40.1860793473708,44.8986821767772,"Juan",56947.5114256541
"54",54,"Chimpanzee",39.3667524370569,50.2038335819089,"James",61106.2933860695
"55",55,"Lion",40.9402645859745,52.957611113391,"Juan",69713.9286496599
"56",56,"Chimpanzee",36.7136913652023,44.7263243983848,"Juan",47348.8239132497
"57",57,"Vaquita",30.093241037559,44.6224166217313,"Juan",31738.0979050927
"58",58,"Vaquita",24.8487588763496,50.9409983914916,"Bob",24703.9692185737
"59",59,"Chimpanzee",35.063558857864,44.0084317827932,"James",42494.9929775573
"60",60,"Tiger",40.8229248067079,49.7116256840745,"James",65066.2955034161
"61",61,"Vaquita",34.5188824823643,51.0610730364143,"Bob",47785.1851726336
"62",62,"Chimpanzee",40.2963061154003,48.3060115393133,"Bob",61605.7907215384
"63",63,"Tiger",38.3525679274471,41.7976392883187,"Bob",48287.0340797747
"64",64,"Chimpanzee",27.2071832034667,45.3388112818478,"Juan",26358.8933402635
"65",65,"Vaquita",39.7766174569573,55.4853959079968,"James",68948.411959551
"66",66,"Vaquita",41.4816603330912,56.1886048734339,"James",75936.4678681571
"67",67,"Bear",22.910372839332,37.6382801514365,"Bob",15516.1498641518
"68",68,"Tiger",35.3159750396671,48.4206923080442,"Juan",47431.108915845
"69",69,"Chimpanzee",38.5801382993688,54.9329012219595,"James",64216.9948430564
"70",70,"Tiger",32.6664015289302,40.4129067105196,"Juan",33869.7945083942
"71",71,"Lion",34.5625080361198,48.7790361723336,"Bob",45765.013565805
"72",72,"Tiger",39.9103581473685,55.0922928315592,"Bob",68921.0648387192
"73",73,"Vaquita",34.8439960618469,63.3416316815564,"James",60399.7359399364
"74",74,"Lion",32.9785851879932,56.836243197885,"Bob",48548.8878273486
"75",75,"Chimpanzee",31.3808808980672,39.6271354686159,"James",30648.7539128708
"76",76,"Tiger",34.0883355423117,48.4904385828081,"James",44254.5150271378
"77",77,"Tiger",29.734086610589,31.6821019558426,"Bob",21999.5132953813
"78",78,"Bear",35.2871630664426,42.5393444884216,"James",41601.9955757522
"79",79,"Vaquita",32.5299909343095,42.149895766271,"Juan",35031.1400228022
"80",80,"Vaquita",40.3015052052057,38.535873553023,"James",49158.3868717283
"81",81,"Lion",37.0325818125616,47.2941230346658,"James",50940.7154368823
"82",82,"Lion",39.3730952378922,55.4797921091394,"James",67549.761669107
"83",83,"Tiger",33.0088146547692,48.4788752411191,"Juan",41486.0679932056
"84",84,"Bear",30.3003488788693,51.2106831028319,"Juan",36927.1430107835
"85",85,"Tiger",36.5902791634777,51.9110877590638,"Juan",54586.0233339121
"86",86,"Lion",35.4323897302659,55.5544256855752,"Juan",54778.4112401213
"87",87,"Tiger",36.2132207099986,61.7286065902871,"Bob",63578.5557361416
"88",88,"Bear",28.4290875569424,49.0832614302695,"Juan",31156.5338059752
"89",89,"Bear",30.1676876856873,53.4013024666677,"Juan",38170.3179657948
"90",90,"Chimpanzee",32.7610745861987,50.4636438337858,"Juan",42538.7539940057
"91",91,"Tiger",31.95847773435,56.98852484257,"James",45714.025457802
"92",92,"Bear",39.7677552177251,40.8842496770554,"James",50781.7972331793
"93",93,"Lion",36.6113478154017,71.3486633126216,"Bob",75111.6249076497
"94",94,"Bear",31.5796556709156,50.2923707673176,"Juan",39391.8856647117
"95",95,"Lion",34.0807013938819,54.4641816985785,"Juan",49684.1555233247
"96",96,"Chimpanzee",40.91920016047,53.9446390441092,"Juan",70940.2059492635
"97",97,"Lion",31.3216348334881,50.9354037280627,"James",39246.2782122537
"98",98,"Bear",33.7968377395352,57.6935604689384,"James",51757.0311006585
"99",99,"Bear",43.0217166354833,49.4391560555599,"Juan",71868.1392864784
"100",100,"Lion",28.0686408650409,48.6353657252157,"James",30094.3408143885
